site,target,capex_usd,npc_usd,eac_usd,cost_per_served_kwh_usd
Rodina,0.95,22242333.0,31817841.02869179,1827230.8713391807,0.23969661800257475
Rodina,0.99,41702562.0,58563978.399372034,3363204.5990574015,0.4235750436627831
Shamshi Kaldayakova,0.95,1841538.4,2638272.126253686,151510.3514326221,0.31622005849184515
Shamshi Kaldayakova,0.99,2971423.2,4220595.792117393,242379.83085800294,0.4890724675974864
Katon-Karagay,0.95,12375040.4,20736065.708171047,1190828.1073477266,0.42284246995082636
Katon-Karagay,0.99,15782082.0,25322540.58471767,1454219.5950822453,0.4956058121257388
Kegen,0.95,17222746.0,26917263.222430654,1545801.1210640045,0.2031779640604208
Kegen,0.99,18795936.0,30511992.59006065,1752238.775608825,0.22107604236704814
Shayan,0.95,18028562.0,29423120.681695297,1689707.1800770904,0.21764086276707656
Shayan,0.99,32323936.0,47163911.28587593,2708523.0150261456,0.33480004629710186
Sai-Otes,0.95,4137851.2,5933382.5669618845,340741.52888129593,0.23799776735599176
Sai-Otes,0.99,6519626.2,10523596.508549502,604347.7431607961,0.4052785520185514
Togyzkuduk,0.95,2467914.0,3387571.3149618628,194541.00861147835,0.2295052120037262
Togyzkuduk,0.99,3444071.6,4669423.347008524,268155.0417990979,0.30441278427628093
