site,target,served_fraction,unmet_energy_kwh,loss_of_load_hours,longest_deficit_hours
Rodina,0.95,0.9505110048397283,396901.74118537945,663,111
Rodina,0.99,0.9900304578143176,79955.72832917234,123,67
Shamshi Kaldayakova,0.95,0.9582589552049516,20870.522397524197,549,139
Shamshi Kaldayakova,0.99,0.9911816629084301,4409.168545784936,98,60
Katon-Karagay,0.95,0.950196486217172,147610.4282839387,705,66
Katon-Karagay,0.99,0.9900030799814236,29629.428395294024,158,36
Kegen,0.95,0.9504423833093827,396699.4801292937,801,46
Kegen,0.99,0.9901486193289073,78858.46519165103,178,30
Shayan,0.95,0.9502010527204292,406888.73433450813,710,44
Shayan,0.99,0.9901283995832195,80657.18692586885,144,19
Sai-Otes,0.95,0.950690170892146,74258.58651703797,701,92
Sai-Otes,0.99,0.9901935724459014,14768.078943374498,159,29
Togyzkuduk,0.95,0.953323502722435,41502.720775764334,692,91
Togyzkuduk,0.99,0.9907059449950852,8263.871375133642,127,38
