site_id,site,target,demand_id,demand_basis,demand_sha256,weather_sha256,scenario_hash,catalog,economics
rodina,Rodina,0.95,rodina_phase9_reconstruction_v1,SOURCE_RECONSTRUCTED,331983aa57dc786a0fb6adca4f8fe3fe4a68d8d271e42044f1ea9c64851705fd,58047e5411f9c6bf83171e2374f7f50358d533a79c355f94267d1459461aad19,775539a9be6a6f25c2c1349b9e915f314e8e7d1c26de281dd1c2dec118765f08,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
rodina,Rodina,0.99,rodina_phase9_reconstruction_v1,SOURCE_RECONSTRUCTED,331983aa57dc786a0fb6adca4f8fe3fe4a68d8d271e42044f1ea9c64851705fd,58047e5411f9c6bf83171e2374f7f50358d533a79c355f94267d1459461aad19,9d963d8e9fe19f438f5ae489e2af0f5e872f2a7670ec0748c80a15411b7f36ab,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
shamshi_kaldayakova,Shamshi Kaldayakova,0.95,shamshi_demo_500mwh_community,SYNTHETIC_ESTIMATE,5b998ba8ab9eeda1e796791f16098e9f359e0e1dd7e1bcc5bcb64b64f3ec7864,3affa7bd91ec71e18e5de27370550f889794081fb7325aa7e9a58e8dabfbe56e,a19c0d0807bb264400f2386a416f57ec818951257807086c8eb409123a7f8f84,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
shamshi_kaldayakova,Shamshi Kaldayakova,0.99,shamshi_demo_500mwh_community,SYNTHETIC_ESTIMATE,5b998ba8ab9eeda1e796791f16098e9f359e0e1dd7e1bcc5bcb64b64f3ec7864,3affa7bd91ec71e18e5de27370550f889794081fb7325aa7e9a58e8dabfbe56e,77e170ae0b388cbe1813ff72426dd53d5ee08ec0080efbb383fdabddf6739c46,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
katon_karagay,Katon-Karagay,0.95,proxy_rural_community_v1,PROXY_DERIVED,3628207a6361c70a07dc13044603a426aa0f2cbd50e9d985ac76505df6540472,0da14c21e76598da9f34a5d0afbe601190483c2d199b34b37bf5e54574f0334f,aa0d7f983e87c433d465768c387927bf63ac180159d08477ca2922fab6bee0bb,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
katon_karagay,Katon-Karagay,0.99,proxy_rural_community_v1,PROXY_DERIVED,3628207a6361c70a07dc13044603a426aa0f2cbd50e9d985ac76505df6540472,0da14c21e76598da9f34a5d0afbe601190483c2d199b34b37bf5e54574f0334f,4d48794e50b739fc983be6a8e51cb89b21f093e348e2c3360387d01e72d070f0,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
kegen,Kegen,0.95,proxy_rural_community_v1,PROXY_DERIVED,6010f4527438fee80bfdaf47fefa2bed73d6c4c14dd6026bd0cd53b1f036eb43,02b7eccd76ff3ea0500c2a104be1a26a4aa5d965800c3802b80a8efe88ec835f,1cd456aafbd7b70af81f79bd384ee95cbab4466589ba8825f473d57ac9e37cf1,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
kegen,Kegen,0.99,proxy_rural_community_v1,PROXY_DERIVED,6010f4527438fee80bfdaf47fefa2bed73d6c4c14dd6026bd0cd53b1f036eb43,02b7eccd76ff3ea0500c2a104be1a26a4aa5d965800c3802b80a8efe88ec835f,5b677046a0db6fba823ba1a32eb77c39b1b58f3af0bfd6e831c625e04c7f7e2d,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
shayan,Shayan,0.95,proxy_rural_community_v1,PROXY_DERIVED,4bb0889de63259f8ec5e60f337b1c93984b5c2caa9ed92eca3171d2847b95abd,3edd437a574a9d3e4423c1b4f731c56d9369b22a91a3ead53b2297e60649d7e8,4386c0cd3bb33e948588c82d4d7d031bc6a2b418f750eb4d8933bc6ae04deb75,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
shayan,Shayan,0.99,proxy_rural_community_v1,PROXY_DERIVED,4bb0889de63259f8ec5e60f337b1c93984b5c2caa9ed92eca3171d2847b95abd,3edd437a574a9d3e4423c1b4f731c56d9369b22a91a3ead53b2297e60649d7e8,4540797cc6567114c241d109b48b0c7fcec7df3e232ecc2d682b78275807821d,PLANNER_V2,PLANNER_SCALE_AWARE_ECONOMICS_V2
